rating,number_of_reviews,bought_in_last_month,is_sponsored,buy_box_availability,is_best_seller_flag,has_badge,has_coupon,coupon_percent,coupon_value,final_price,discount_percentage,PC1,PC2,rating_category,price_category
4.6,2740.0,40.0,0,1,1,1,0,0.0,0.0,20.69,31.010336778926302,0.07120604336764251,7.634051610707217,High,Cheap
4.8,5591.0,10.0,0,0,0,0,0,0.0,0.0,13.45,0.0,-0.6964474157611218,-0.545714956883836,High,Cheap
4.8,1356.0,5.0,0,0,1,1,0,0.0,0.0,540.75,0.0,-0.4409462153809214,5.6414930799422365,High,Cheap
4.5,43204.0,10.0,0,0,1,1,0,0.0,0.0,11.98,0.0,-0.41483921887199154,6.794992121285168,Medium,Cheap
4.6,885.0,10.0,0,1,0,0,0,0.0,0.0,135.0,0.0,-0.18053887242211422,-0.13280429121857315,High,Cheap
4.7,14168.0,10.0,0,1,0,0,0,0.0,0.0,149.99,25.00125006250312,-0.19622867505285646,0.9545631488259823,High,Cheap
4.3,20039.0,10.0,0,1,1,1,0,0.0,0.0,79.95,20.01000500250125,0.11459885243960087,7.398952868004997,Medium,Cheap
4.7,18748.0,10.0,0,1,0,0,0,0.0,0.0,103.99,0.0,-0.1976555100823859,0.3751291221168094,High,Cheap
4.6,2617.0,10.0,0,1,0,0,0,0.0,0.0,166.62,0.0,-0.1830277654870444,-0.11674580262844483,High,Cheap
4.6,23765.0,20.0,0,0,0,0,0,0.0,0.0,55.89,0.0,-0.6997537353893382,-0.2868358765878319,High,Cheap
4.3,69082.0,10.0,0,0,1,1,0,0.0,0.0,15.68,0.0,-0.4107274769868536,7.242736088982803,Medium,Cheap
4.0,5.0,0.0,1,0,0,0,0,0.0,0.0,59.99,25.003125390673826,0.5398660336518376,-0.2859190412453184,Medium,Cheap
3.8,30.0,0.0,1,1,0,0,0,0.0,0.0,139.99,0.0,1.0540470633344299,-0.45237378113512583,Medium,Cheap
4.2,5284.0,2.0,1,1,0,0,0,0.0,0.0,29.22,41.54830966193239,1.0205286050879718,1.2434458058526745,Medium,Cheap
4.4,64543.0,30.0,0,1,1,1,0,0.0,0.0,30.58,10.032362459546935,0.0643557622746752,8.283229631035452,Medium,Cheap
4.6,17279.0,10.0,0,1,0,0,0,0.0,0.0,25.99,35.00875218804702,-0.18219672809319598,1.3349707977461032,High,Cheap
3.9,11214.0,20.0,0,1,1,1,0,0.0,0.0,59.99,33.33703744860539,0.1476567381875976,7.320561992210695,Medium,Cheap
4.4,7091.0,10.0,0,1,1,1,0,0.0,0.0,97.97,18.33791781278653,0.11148359998593808,7.111751392391335,Medium,Cheap
4.7,90262.0,10.0,0,0,0,0,0,0.0,0.0,33.99,0.0,-0.7337405398206874,1.3170632320649547,High,Cheap
4.7,94058.0,30.0,0,1,0,0,0,0.0,0.0,30.99,13.047138047138052,-0.2530099952840918,2.577015107230677,High,Cheap
4.6,51663.0,10.0,0,1,0,0,0,0.0,0.0,22.99,6.468673718470301,-0.20188837298943133,1.3080390556106614,High,Cheap
4.6,20903.0,10.0,0,1,0,0,0,0.0,0.0,59.99,14.287755393627652,-0.18684798884235834,0.7963648469402657,High,Cheap
4.6,18811.0,20.0,0,1,0,0,0,0.0,0.0,34.99,12.503125781445359,-0.19421434735461116,0.7335374283341393,High,Cheap
4.2,3209.0,10.0,0,1,0,0,0,0.0,0.0,189.99,24.000960038401537,-0.14698997220140522,0.2785460752920931,Medium,Cheap
4.6,10222.0,10.0,0,1,1,1,0,0.0,0.0,16.99,39.299749910682394,0.09669058878295438,7.994197394112444,High,Cheap
4.6,33312.0,50.0,0,0,0,0,0,0.0,0.0,6.91,0.0,-0.7313471947311426,0.023796160648856424,High,Cheap
4.6,52607.0,50.0,0,1,1,1,0,0.0,0.0,5.65,10.174880763116052,0.03456572123531659,8.212671959255486,High,Cheap
4.2,13855.0,7.0,0,1,1,1,0,0.0,0.0,189.99,20.834201425059376,0.1244881993068964,7.118889724985159,Medium,Cheap
4.7,52857.0,10.0,0,0,0,0,0,0.0,0.0,62.89,0.0,-0.7151297613586316,0.43329318634343644,High,Cheap
4.1,3818.0,10.0,0,1,0,0,0,0.0,0.0,172.2,25.12717944258447,-0.13730333802902206,0.26551857792931866,Medium,Cheap
4.7,4657.0,10.0,0,1,1,1,0,0.0,0.0,139.5,17.45562130177515,0.08345765188430092,7.217637668713353,High,Cheap
4.8,15868.0,30.0,0,1,0,0,0,0.0,0.0,16.98,47.41406008052028,-0.21780054640001767,1.847936317200609,High,Cheap
4.8,126587.0,10.0,0,1,0,0,0,0.0,0.0,24.99,28.579594169762796,-0.25917984998681415,3.8153740637571483,High,Cheap
4.6,13112.0,10.0,0,0,0,1,0,0.0,0.0,85.89,0.0,-0.5337019530083035,1.4669826533606902,High,Cheap
4.7,3724.0,10.0,0,1,1,1,0,0.0,0.0,60.5,0.0,0.08698885803941374,6.753262409699477,High,Cheap
4.6,60696.0,10.0,0,1,0,0,0,0.0,0.0,198.0,43.103448275862064,-0.21354408751464893,2.43872807630907,High,Cheap
4.8,6853.0,10.0,0,1,1,1,0,0.0,0.0,43.87,33.52023033792999,0.07872355994830048,7.875718072695825,High,Cheap
4.8,3875.0,40.0,0,1,1,1,0,0.0,0.0,4.26,27.054794520547947,0.0530552485056362,7.704540761741248,High,Cheap
3.9,6335.0,500.0,1,1,0,0,1,0.0,10.0,29.99,8.343520782396089,4.048203354523621,0.3717672483366124,Medium,Cheap
4.1,264.0,0.0,1,1,0,0,1,0.0,16.0,85.99,0.0,4.856415993700751,-0.9598344942958286,Medium,Cheap
4.4,45.0,0.0,1,1,0,0,0,0.0,0.0,179.99,0.0,0.9975930755913385,-0.044797026061314554,Medium,Cheap
4.7,23337.0,10.0,0,0,0,0,0,0.0,0.0,62.89,0.0,-0.699316127656208,-0.2469713262631071,High,Cheap
